Name,Email,Phone,Credit Card Number,Birthdate,Customer ID,City,State,ZIP Code
0092f38930,michaelluna@example.net,gAAAAABoADdKsvUcZdu1s0mrvmg6OZbvvtjJYB7T-nQ_zLUx7royPBjtMqU9ZuR-8uDEgkRWrwB2fbTaYgkD50r9zPdbio1dTg==,1e31aaad1361bc3aaccda6e3e85dddc8c2663ad8e829c55843fa1ee1a36aaaee,1990-02-28,576045,East Kara,KS,47193
3d4f6e3fbe,andrewsingh@example.com,gAAAAABoADdKMbHeB_4RtZgxNkwQ3e_4BuEWLp70cOFE4EHKMO2jPOKjuqqhUyfa4YL93GcVmqXRCL9vyKgoGql9H0B5TNzEZ3nzCiXBtWEJL4xkuRdGo-s=,deff83821a2558e2b6a93e69e1ad9270e6d68a4833d57c2ab50eda0bd2d4e078,1996-09-15,556146,South Dustin,PW,15187
e851a27b82,bnguyen@example.net,gAAAAABoADdKlGfE5HhPTSCRGLaBoYDgytMbE5OYf1F7ZRp5XFT6UYeKrxP5TYMwQO_epyYp93qiP5dQAz17WVV8G_8UHR9JBQ==,ddd41b88ba314fbf07f8ebb2616e2c47e51a0040e6eead7813b587af0ce73fc0,2004-04-16,622738,DPO,AA,49403
d92297d1fb,dawn98@example.net,gAAAAABoADdKs2HCvkOMgyLZeRtc3m8UdTP7n218hds-Y04bRM4DynF1HkpheY9KPW9HMJi3ijx_L8AqmTCfg_Zx3Tt_vu3dwg==,b4c0f48d525e79a7f9d2efb92c621b520aee27ae1570327faae69908eefc9a11,1997-02-12,6703,DPO,AP,29670
f3337dd4d4,icombs@example.org,gAAAAABoADdKnKMUfURDMiXynN_hUUkBsOaVLTE1hsCGr_hsta9xQf2Omnc1UjM34itB6V4Ud3s5U4mr-s42irGOtZvYTvBu1G2Hf0xoxE_R5ETAoYNnhf0=,ec02a67652213bfb822165ce586a07abbc77bd34c04bd9c5b00df557a0956e2d,1976-07-27,407747,North Deborah,ND,66201
1bf5bea63b,luischan@example.org,gAAAAABoADdKO_Q1HLV7urOe2yzWxYjbj-FmLfzGrpGzIvAsLR3--LoKRnGqYojNzba32r6ktWx3eZ_jINoa7_8bN7NG5sPtUqnrCv9XF-KQO-zHxutslRc=,00bd83cf299ee5fe954f70bed482b620d2b32c28b549236738e17a8884fb0414,1978-05-24,614213,DPO,AA,59569
ed35ad8152,lopezwilliam@example.net,gAAAAABoADdKkmIFgXWRvwrK2AINe3paiWArK5or6Mgg-miFX6Bc4bgJI1oKdiyttQWmmcaB5ICTwOAfeCou5t7-RWYy63DhzQ==,b12edbd8b76c74faad630f90b23ab8ced4544baa8b6c3deaf06779701e1d457e,1972-01-16,253241,Lyonsland,TX,58618
30c5747f37,xolson@example.com,gAAAAABoADdK0xpMLMcVeAN7_oIfcAb8wfyLg3mYAt9HSSzCIEiLdBUHXUu7_tl1_DS8NOxCTdDorX9z7LckIJqUGsIi8E_1KErx2EykiFh9O8EuaVjJk98=,460577666a7df476e4438ff79ac944c091d8e922b889310022c3b25027909044,1989-01-05,448250,Colleenton,WY,35603
eb4b1267b8,bestkevin@example.org,gAAAAABoADdK3mifWP791_3KuEZgyTf44pYOgGXy6gojN35TS3I5pRZH8TAhUV8flixF3TiVX_8RGbPdAcldogIKmq06LKFrjQ==,43e4ed2321b94caccbdd1e50a1a1e5b1ca46a17807269473fcf762daec2701a2,1972-06-11,345623,East Williammouth,AK,87297
b4966136ff,williamsrebecca@example.com,gAAAAABoADdKyERig9IgzS6uwqntjD_7YqkPuZJCzKSBi4j5htwF3BZx-bS2zokvVDOOce99M2mwoh_qeRn8aaO5xIrjLgljBVbM_f3fZtcYp1ijKk-UWYs=,f314ef45957eaebe44534c8d4052a6945143bc6e45b53c70cb9c8ef630ffab3c,1992-10-20,910919,New Christopher,ID,39236
